"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","155","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Fri Mar 08 01:21:33 GMT 2024","Fri Mar 08 01:21:33 GMT 2024","610","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","159","Contact management","Lists","","","","Delete a list",""
"passed","Fri Mar 08 01:21:36 GMT 2024","Fri Mar 08 01:21:37 GMT 2024","396","Sales CRM","Tasks","","","","Delete a task",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","148","Account","Corporate","","","","Create a new sub-account under a master account.","This endpoint will create a new sub-account under a master account"
"passed","Fri Mar 08 01:22:07 GMT 2024","Fri Mar 08 01:22:08 GMT 2024","249","Account","Senders","","","","Delete a sender",""
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:41 GMT 2024","189","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Mar 08 01:21:37 GMT 2024","Fri Mar 08 01:21:37 GMT 2024","464","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Mar 08 01:21:38 GMT 2024","Fri Mar 08 01:21:38 GMT 2024","228","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","167","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","220","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes","We recommend pinging this endpoint every minute for as long as the agent has to be considered online."
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","148","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","183","Account","Webhooks","","","","Update a webhook",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","175","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.","This endpoint will retrieve inbound attachment with download token."
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","198","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:47 GMT 2024","140","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Mar 08 01:21:54 GMT 2024","Fri Mar 08 01:21:54 GMT 2024","157","Transactional","Email API","","","","Send a transactional email",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:02 GMT 2024","167","Account","Reseller","Domains","","","Get all sender domains for a specific child account",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","203","Account","Webhooks","","","","Get all webhooks",""
"passed","Fri Mar 08 01:22:06 GMT 2024","Fri Mar 08 01:22:06 GMT 2024","266","Account","Senders","","","","Get the list of all your senders",""
"passed","Fri Mar 08 01:22:03 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","185","Account","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","236","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.","This endpoint will show the list of all the events for the received emails."
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","160","Account","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","179","Transactional","SMS statistics","","","","Get all your SMS activity (unaggregated events)",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","137","Account","Corporate","","","","Update sub-account plan","This endpoint will update the sub-account plan"
"failed","Fri Mar 08 01:21:45 GMT 2024","Fri Mar 08 01:21:45 GMT 2024","179","Marketing","SMS Campaigns","","","","Send an SMS campaign's report","Send report of Sent and Archived campaign, to the specified email addresses, with respective data and a pdf attachment in detail."
"failed","Fri Mar 08 01:21:45 GMT 2024","Fri Mar 08 01:21:45 GMT 2024","158","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients","It returns the background process ID which on completion calls the notify URL that you have set in the input."
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","141","Contact management","Lists","","","","Get a list's details",""
"failed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","213","Sales CRM","Files","","","","Get file details",""
"failed","Fri Mar 08 01:21:51 GMT 2024","Fri Mar 08 01:21:51 GMT 2024","177","Contact management","Folders","","","","Get lists in a folder",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","222","Contact management","Contacts","","","","Delete a contact",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:57 GMT 2024","225","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Fri Mar 08 01:21:54 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","313","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId","Delete scheduled batch of emails by batchId or single scheduled email by messageId"
"passed","Fri Mar 08 01:21:32 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","267","Sales CRM","Deals","","","","Create a deal",""
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:47 GMT 2024","204","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Fri Mar 08 01:21:42 GMT 2024","Fri Mar 08 01:21:43 GMT 2024","520","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:57 GMT 2024","216","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Mar 08 01:21:42 GMT 2024","Fri Mar 08 01:21:42 GMT 2024","207","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Mar 08 01:21:32 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","238","Sales CRM","Companies","","","","Get pipeline stages",""
"failed","Fri Mar 08 01:21:43 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","169","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"passed","Fri Mar 08 01:22:03 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","180","Account","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:39 GMT 2024","206","Sales CRM","Files","","","","Download a file",""
"passed","Fri Mar 08 01:21:34 GMT 2024","Fri Mar 08 01:21:34 GMT 2024","192","Sales CRM","Deals","","","","Update a deal",""
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","157","Contact management","Lists","","","","Get contacts in a list",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","206","Contact management","Attributes","","","","Update contact attribute",""
"passed","Fri Mar 08 01:21:37 GMT 2024","Fri Mar 08 01:21:38 GMT 2024","226","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","188","Account","Webhooks","","","","Get a webhook details",""
"failed","Fri Mar 08 01:21:41 GMT 2024","Fri Mar 08 01:21:42 GMT 2024","200","Marketing","Email Campaigns","","","","Get an A/B test email campaign results","Obtain winning version of an A/B test email campaign"
"passed","Fri Mar 08 01:21:54 GMT 2024","Fri Mar 08 01:21:54 GMT 2024","193","Contact management","Attributes","","","","Delete an attribute",""
"failed","Fri Mar 08 01:21:50 GMT 2024","Fri Mar 08 01:21:50 GMT 2024","248","Contact management","Folders","","","","Get all folders",""
"failed","Fri Mar 08 01:21:50 GMT 2024","Fri Mar 08 01:21:50 GMT 2024","223","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Mar 08 01:21:51 GMT 2024","Fri Mar 08 01:21:51 GMT 2024","192","Contact management","Folders","","","","Update a folder",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","215","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","146","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","174","Contact management","Attributes","","","","List all attributes",""
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","201","Conversations","Messages","","","","Delete a message sent by an agent","Only agents’ messages can be deleted."
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","158","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.","This endpoint will show the list of all events history for one particular received email."
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:57 GMT 2024","167","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"passed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:45 GMT 2024","213","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"passed","Fri Mar 08 01:21:36 GMT 2024","Fri Mar 08 01:21:36 GMT 2024","440","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Mar 08 01:22:03 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","176","Account","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"passed","Fri Mar 08 01:21:41 GMT 2024","Fri Mar 08 01:21:41 GMT 2024","172","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","183","Transactional","Logs","","","","Delete hardbounces","Delete hardbounces. To use carefully (e.g. in case of temporary ISP failures)"
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","171","Account","Corporate","","","","Get sub-account details","This endpoint will provide the details for the specified sub-account company"
"passed","Fri Mar 08 01:22:03 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","159","Account","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Fri Mar 08 01:21:51 GMT 2024","Fri Mar 08 01:21:51 GMT 2024","303","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Fri Mar 08 01:21:32 GMT 2024","Fri Mar 08 01:21:33 GMT 2024","283","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Mar 08 01:21:34 GMT 2024","Fri Mar 08 01:21:34 GMT 2024","180","Sales CRM","Deals","","","","Delete a deal",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","252","Account","Webhooks","","","","Delete a webhook",""
"passed","Fri Mar 08 01:21:38 GMT 2024","Fri Mar 08 01:21:39 GMT 2024","197","Sales CRM","Notes","","","","Delete a note",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","154","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:02 GMT 2024","182","Account","Reseller","Domains","","","Delete the sender domain of the reseller child based on the childIdentifier and domainName passed",""
"failed","Fri Mar 08 01:21:42 GMT 2024","Fri Mar 08 01:21:42 GMT 2024","192","Marketing","Email Campaigns","","","","Get a shared template url","Get a unique URL to share & import an email template from one Sendinblue account to another."
"passed","Fri Mar 08 01:21:38 GMT 2024","Fri Mar 08 01:21:38 GMT 2024","330","Sales CRM","Notes","","","","Get a note",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","126","Account","Corporate","","","","Generate SSO token to access Sendinblue","This endpoint generates an sso token to authenticate and access a sub-account of the master using the account endpoint https://app.sendinblue.com/account/login/sub-account/sso/[token], where [token] will be replaced by the actual token."
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","164","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","211","Account","Process","","","","Return all the processes for your account",""
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:48 GMT 2024","312","Contact management","Contacts","","","","Create a contact",""
"passed","Fri Mar 08 01:21:54 GMT 2024","Fri Mar 08 01:21:54 GMT 2024","240","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters","This endpoint will show the list of emails for past 30 days by default. To retrieve emails before that time, please pass startDate and endDate in query filters."
"passed","Fri Mar 08 01:22:08 GMT 2024","Fri Mar 08 01:22:08 GMT 2024","240","Account","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Fri Mar 08 01:22:03 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","172","Account","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)","It returns a session [token] which will remain valid for a short period of time. A child account will be able to access a white-labeled section by using the following url pattern => https:/email.mydomain.com/login/sso?token=[token]"
"passed","Fri Mar 08 01:21:37 GMT 2024","Fri Mar 08 01:21:37 GMT 2024","249","Sales CRM","Notes","","","","Get all notes",""
"passed","Fri Mar 08 01:21:45 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","236","Conversations","Messages","","","","Get a message",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","149","Transactional","Templates","","","","Create an email template",""
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:57 GMT 2024","145","Transactional","Blocked Domains","","","","Get the list of blocked domains","Get the list of blocked domains"
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:39 GMT 2024","259","Sales CRM","Files","","","","Get all files",""
"passed","Fri Mar 08 01:21:45 GMT 2024","Fri Mar 08 01:21:45 GMT 2024","220","Conversations","Messages","","","","Send a message as an agent",""
"passed","Fri Mar 08 01:21:34 GMT 2024","Fri Mar 08 01:21:35 GMT 2024","571","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Fri Mar 08 01:21:50 GMT 2024","Fri Mar 08 01:21:50 GMT 2024","200","Contact management","Folders","","","","Create a folder",""
"passed","Fri Mar 08 01:21:41 GMT 2024","Fri Mar 08 01:21:41 GMT 2024","233","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","118","Account","Corporate","","","","Get the list of all the sub-accounts of the master account.","This endpoint will provide the list all the sub-accounts of the master account."
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","228","Conversations","Messages","","","","Update a message sent by an agent","Only agents’ messages can be edited."
"failed","Fri Mar 08 01:21:30 GMT 2024","Fri Mar 08 01:21:30 GMT 2024","365","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Mar 08 01:21:51 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","202","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","216","Transactional","Templates","","","","Update an email template",""
"passed","Fri Mar 08 01:21:50 GMT 2024","Fri Mar 08 01:21:51 GMT 2024","301","Contact management","Folders","","","","Returns a folder's details",""
"passed","Fri Mar 08 01:21:33 GMT 2024","Fri Mar 08 01:21:34 GMT 2024","212","Sales CRM","Deals","","","","Get a deal",""
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:57 GMT 2024","145","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)","This endpoint will show the aggregated stats for past 30 days by default if `startDate` and `endDate` OR `days` is not passed. The date range can not exceed 90 days"
"failed","Fri Mar 08 01:21:42 GMT 2024","Fri Mar 08 01:21:42 GMT 2024","206","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"failed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","198","Contact management","Lists","","","","Create a list",""
"passed","Fri Mar 08 01:21:29 GMT 2024","Fri Mar 08 01:21:30 GMT 2024","591","Sales CRM","Companies","","","","Get all Companies",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","189","Contact management","Contacts","","","","Import contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input."
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:47 GMT 2024","251","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","168","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","166","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","161","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:02 GMT 2024","162","Account","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Mar 08 01:21:35 GMT 2024","Fri Mar 08 01:21:35 GMT 2024","644","Sales CRM","Tasks","","","","Create a task",""
"passed","Fri Mar 08 01:21:41 GMT 2024","Fri Mar 08 01:21:41 GMT 2024","184","Marketing","Email Campaigns","","","","Send the report of a campaign","A PDF will be sent to the specified email addresses"
"passed","Fri Mar 08 01:22:06 GMT 2024","Fri Mar 08 01:22:06 GMT 2024","218","Account","Account data","","","","Get your account information, plan and credits details",""
"failed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","189","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","167","Transactional","Templates","","","","Returns the template information",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","143","Account","Corporate","","","","Delete a sub-account",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","158","Transactional","Email API","","","","Fetch scheduled emails by batchId or messageId","Fetch scheduled batch of emails by batchId or single scheduled email by messageId (Can retrieve data upto 30 days old)"
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","159","Account","Process","","","","Return the informations for a process",""
"passed","Fri Mar 08 01:22:07 GMT 2024","Fri Mar 08 01:22:07 GMT 2024","202","Account","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","156","Account","Corporate","","","","Get the details of requested master account","This endpoint will provide the details of the master account."
"passed","Fri Mar 08 01:22:07 GMT 2024","Fri Mar 08 01:22:07 GMT 2024","271","Account","Senders","","","","Update a sender",""
"passed","Fri Mar 08 01:21:42 GMT 2024","Fri Mar 08 01:21:42 GMT 2024","184","Marketing","Email Campaigns","","","","Create an email campaign",""
"failed","Fri Mar 08 01:21:48 GMT 2024","Fri Mar 08 01:21:48 GMT 2024","149","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Fri Mar 08 01:21:32 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","264","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Mar 08 01:21:57 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","185","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains","Blocks a new domain in order to avoid messages being sent to the same"
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","182","Account","Reseller","Child accounts","","","Get the list of all children accounts",""
"passed","Fri Mar 08 01:21:55 GMT 2024","Fri Mar 08 01:21:55 GMT 2024","171","Transactional","Templates","","","","Get the list of email templates",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","177","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","159","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:03 GMT 2024","249","Account","Reseller","Child accounts","","","Get a child account's details",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","185","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","208","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","158","Account","Reseller","Credits","","","Add Email and/or SMS credits to a specific child account",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:50 GMT 2024","194","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Mar 08 01:21:58 GMT 2024","Fri Mar 08 01:21:58 GMT 2024","157","Transactional","Blocked Domains","","","","Unblock an existing domain from the list of blocked domains","Unblocks an existing domain from the list of blocked domains"
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","219","Conversations","Pushed messages","","","","Send an automated message to a visitor","Example of automated messages: order status, announce new features in your web app, etc."
"failed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","299","Sales CRM","Companies","","","","Get a company",""
"passed","Fri Mar 08 01:21:48 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","443","Contact management","Contacts","","","","Export contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input. File will be available in csv."
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:39 GMT 2024","281","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","144","Contact management","Lists","","","","Update a list",""
"passed","Fri Mar 08 01:21:30 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","279","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"passed","Fri Mar 08 01:21:49 GMT 2024","Fri Mar 08 01:21:49 GMT 2024","311","Contact management","Contacts","","","","Get a contact's details","Along with the contact details, this endpoint will show the statistics of contact for the recent 90 days by default. To fetch the earlier statistics, please use Get contact campaign stats ``https://developers.sendinblue.com/reference/contacts-7#getcontactstats`` endpoint with the appropriate date ranges."
"passed","Fri Mar 08 01:21:47 GMT 2024","Fri Mar 08 01:21:47 GMT 2024","219","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Mar 08 01:21:56 GMT 2024","Fri Mar 08 01:21:56 GMT 2024","209","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time","This endpoint will show the aggregated stats for past 90 days by default if `startDate` and `endDate` OR `days` is not passed. The date range can not exceed 90 days"
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","159","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Mar 08 01:22:01 GMT 2024","Fri Mar 08 01:22:01 GMT 2024","160","Account","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"passed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:31 GMT 2024","234","Sales CRM","Companies","","","","Delete a company",""
"failed","Fri Mar 08 01:21:39 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","198","Sales CRM","Files","","","","Delete a file",""
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","163","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","181","Account","Webhooks","","","","Create a webhook",""
"passed","Fri Mar 08 01:21:35 GMT 2024","Fri Mar 08 01:21:36 GMT 2024","465","Sales CRM","Tasks","","","","Get all task types",""
"failed","Fri Mar 08 01:21:43 GMT 2024","Fri Mar 08 01:21:43 GMT 2024","217","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Mar 08 01:22:04 GMT 2024","Fri Mar 08 01:22:04 GMT 2024","161","Account","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Fri Mar 08 01:21:48 GMT 2024","Fri Mar 08 01:21:48 GMT 2024","155","Contact management","Contacts","","","","Create Contact via DOI (Double-Opt-In) Flow",""
"passed","Fri Mar 08 01:21:43 GMT 2024","Fri Mar 08 01:21:43 GMT 2024","198","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Mar 08 01:21:30 GMT 2024","Fri Mar 08 01:21:30 GMT 2024","262","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Mar 08 01:22:02 GMT 2024","Fri Mar 08 01:22:02 GMT 2024","181","Account","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Mar 08 01:21:31 GMT 2024","Fri Mar 08 01:21:32 GMT 2024","218","Sales CRM","Companies","","","","Update a company",""
"passed","Fri Mar 08 01:22:06 GMT 2024","Fri Mar 08 01:22:07 GMT 2024","697","Account","Senders","","","","Create a new sender",""
